match_id,competition,setpiece_type,shot_type,is_goal,delivery_technique,delivery_height,delivery_length,is_short_delivery,corner_side,throw_distance,body_part,shot_technique,is_header,statsbomb_xg,loc_x,loc_y,distance_to_goal,angle_to_goal,centrality,zone,minute,gk_x,gk_y,gk_dist_from_line,gk_off_center,nearest_defender_dist,defenders_in_box,defenders_in_6yard,attackers_in_box,n_freeze,marking_label,man_ratio,def_x_std,def_y_std,wall_size,freeze_players
900001,Synthetic,corner,,1,Inswinging,High Pass,12,0,right,,Head,,1,0.19,117,46,6.71,63.43,6,far-post,20,119,40,1,0,2.83,5,4,3,9,zonal,0.2,1.41,2.83,,"{""d"": [[116, 42], [117, 38], [115, 44], [114, 40], [113, 36]], ""a"": [[117, 45], [116, 47], [115, 38]]}"
900002,Synthetic,corner,,0,Outswinging,High Pass,12,0,left,,Head,,1,0.1,116,35,6.4,51.34,5,near-post,26,119,41,1,1,1.41,4,4,2,7,mixed,0.5,1.12,2.24,,"{""d"": [[115, 36], [116, 38], [114, 34], [117, 40]], ""a"": [[116, 34], [115, 37]]}"
900003,Synthetic,corner,,1,Inswinging,Low Pass,12,0,right,,Head,,1,0.13,108,40,12.0,0.0,0,penalty-spot,32,119,40,1,0,1.58,5,0,3,9,man,0.6,1.93,2.5,,"{""d"": [[109.5, 40.5], [111, 44.5], [107.5, 37.5], [112, 41], [113, 38]], ""a"": [[108, 40], [110, 44], [106, 37]]}"
900004,Synthetic,corner,,0,Inswinging,High Pass,12,0,right,,Head,,1,0.08,115,39,5.1,11.31,1,near-post,38,119,40,1,0,1.41,5,5,2,8,zonal,0.0,0.0,5.66,,"{""d"": [[114, 32], [114, 36], [114, 40], [114, 44], [114, 48]], ""a"": [[116, 38], [117, 42]]}"
900005,Synthetic,corner,,1,Inswinging,Low Pass,12,0,right,,Head,,1,0.26,113,42,7.28,15.95,2,penalty-spot,44,112,38,8,2,2.24,2,2,2,5,,,,,,"{""d"": [[114, 40], [115, 44]], ""a"": [[113, 42], [112, 45]]}"
900006,Synthetic,corner,,0,Inswinging,High Pass,12,0,left,,Head,,1,0.1,115,41,5.1,11.31,1,far-post,50,119,40,1,0,1.41,6,5,3,10,mixed,0.333,1.34,2.61,,"{""d"": [[116, 40], [115, 38], [114, 42], [117, 44], [113, 39], [116, 36]], ""a"": [[115, 41], [116, 43], [114, 45]]}"
900007,Synthetic,freekick,Free Kick,1,,,,0,,,Right Foot,,0,0.07,102,44,18.44,12.53,4,central,56,119,43,1,3,6.02,4,0,1,6,zonal,0.0,0.0,1.35,2,"{""d"": [[108, 43], [108, 44.5], [108, 42], [108, 45.5]], ""a"": [[110, 40]]}"
900008,Synthetic,freekick,,0,Inswinging,High Pass,12,0,,,Head,,1,0.09,116,47,8.06,60.26,7,far-post,62,119,40,1,0,2.24,3,3,2,6,zonal,0.0,0.82,1.63,,"{""d"": [[115, 44], [116, 42], [114, 46]], ""a"": [[117, 47], [116, 49]]}"
900009,Synthetic,throwin,,1,Straight,Low Pass,,0,,12,Head,,1,0.11,116,36,5.66,45.0,4,near-post,68,119,41,1,1,1.41,3,3,2,6,zonal,0.0,0.82,2.05,,"{""d"": [[115, 37], [116, 39], [114, 34]], ""a"": [[116, 35], [117, 33]]}"
900010,Synthetic,throwin,,0,Straight,Ground Pass,,0,,20,Right Foot,,0,0.04,100,38,20.1,5.71,2,edge,74,117,40,3,0,4.0,3,0,0,6,,,,,,"{""d"": [[104, 38], [106, 36], [103, 42]], ""a"": []}"
